,Zip,City,Latitude,Longitude,Student Count
433,2025,Cohasset,42.241908,-70.81223,1658.0
437,2760,North Attleboro,41.975495,-71.33086,4480.0
441,1890,Winchester,42.451945,-71.14276,4592.0
443,2465,West Newton,42.351046,-71.22677,739.0
445,2745,New Bedford,41.692806,-70.93264,5730.0
446,2148,Malden,42.428549,-71.06059,8218.0
449,2379,West Bridgewater,42.02195,-71.01878,1323.0
451,2322,Avon,42.121932,-71.04522,724.0
453,1887,Wilmington,42.558576,-71.17031,3387.0
455,1005,Barre,42.412094,-72.10443,1652.0
456,2770,Rochester,41.760783,-70.83848,1037.0
458,2453,Waltham,42.370446,-71.23563,
459,1464,Shirley,42.559289,-71.64555,806.0
460,1749,Hudson,42.389813,-71.55791,2841.0
464,1075,South Hadley,42.234891,-72.58243,2241.0
465,1585,West Brookfield,42.242965,-72.16734,316.0
466,2170,Quincy,42.267049,-71.01834,1370.0
468,1475,Winchendon,42.675441,-72.0467,1320.0
469,1944,Manchester,42.580033,-70.76462,1201.0
471,1235,Hinsdale,42.433661,-73.09278,128.0
472,1770,Sherborn,42.231025,-71.37202,407.0
474,1851,Lowell,42.630915,-71.33238,
475,1945,Marblehead,42.497146,-70.86323,3449.0
477,2140,Cambridge,42.393327,-71.12837,941.0
480,1937,Hathorne,42.635443,-70.879123,1201.0
481,1370,Shelburne Falls,42.603447,-72.72754,720.0
482,1606,Worcester,42.311342,-71.79531,4820.0
483,1731,Hanscom AFB,42.459085,-71.27556,536.0
484,2452,Waltham,42.392496,-71.22153,2618.0
485,2492,Needham,42.278247,-71.23388,3087.0
487,2666,Truro,41.992804,-70.05427,121.0
489,2649,Mashpee,41.613743,-70.48754,1668.0
490,2118,Boston,42.338724,-71.07276,1038.0
491,2116,Boston,42.349622,-71.07372,1504.0
492,2150,Chelsea,42.396382,-71.03352,6737.0
493,1071,Russell,42.165931,-72.85153,200.0
496,2767,Raynham,41.934586,-71.04905,1490.0
497,1850,Lowell,42.655791,-71.30504,1683.0
498,2155,Medford,42.419846,-71.10942,
499,2461,Newton Highlands,42.31883,-71.20822,454.0
500,2713,Cuttyhunk,41.429673,-70.8954,2.0
502,1550,Southbridge,42.070827,-72.03533,
504,1450,Groton,42.609887,-71.55722,2232.0
505,2467,Chestnut Hill,42.321997,-71.17314,1450.0
508,2171,Quincy,42.284498,-71.02316,2735.0
509,1864,North Reading,42.583436,-71.0982,2553.0
510,1720,Acton,42.477142,-71.4422,
512,1092,West Warren,42.210777,-72.23904,489.0
514,2356,North Easton,42.058507,-71.11309,3494.0
516,1970,Salem,42.516845,-70.8985,
517,2536,East Falmouth,41.578992,-70.5614,695.0
519,2115,Boston,42.34308,-71.09268,2766.0
520,1247,North Adams,42.696064,-73.10145,2209.0
521,2481,Wellesley Hills,42.313329,-71.27649,4134.0
522,1506,Brookfield,42.200374,-72.09787,324.0
523,2324,Bridgewater,41.979501,-70.97215,
525,1368,Royalston,42.671012,-72.16999,157.0
526,2743,Acushnet,41.697015,-70.91019,984.0
527,1701,Framingham,42.318695,-71.42344,8529.0
528,1834,Groveland,42.750691,-71.02487,534.0
529,1860,Merrimac,42.834246,-71.00207,460.0
530,2780,Taunton,41.904888,-71.10288,8117.0
531,1339,Charlemont,42.626858,-72.87939,148.0
532,1863,North Chelmsford,42.634199,-71.39322,1998.0
533,2035,Foxboro,42.061427,-71.24232,3930.0
536,1602,Worcester,42.272359,-71.84482,3694.0
539,2130,Jamaica Plain,42.309998,-71.11171,3782.0
541,1082,Ware,42.270611,-72.26067,1305.0
542,1220,Adams,42.619727,-73.11842,809.0
543,1522,Jefferson,42.369658,-71.87418,156.0
545,1527,Millbury,42.196144,-71.76272,1750.0
548,1105,Springfield,42.096644,-72.5798,3082.0
551,2420,Lexington,42.452895,-71.21619,2388.0
552,1921,Boxford,42.677869,-71.00844,2668.0
553,2111,Boston,42.349838,-71.06101,804.0
554,1050,Huntington,42.290209,-72.87942,635.0
555,2478,Belmont,42.391546,-71.17471,4398.0
556,2554,Nantucket,41.276758,-70.09089,1594.0
557,1054,Leverett,42.479839,-72.49879,134.0
558,1351,Montague,42.534976,-72.52522,445.0
560,1950,Newburyport,42.809891,-70.86363,2622.0
563,2038,Franklin,42.089104,-71.4069,6982.0
564,1960,Peabody,42.534045,-70.96146,6082.0
565,2129,Charlestown,42.378619,-71.06495,2443.0
566,1757,Milford,42.149176,-71.52149,3875.0
568,1588,Whitinsville,42.114195,-71.67225,2398.0
570,1985,West Newbury,42.790736,-70.97286,1556.0
571,2740,New Bedford,41.634754,-70.93752,7005.0
573,1940,Lynnfield,42.527895,-71.02834,2243.0
574,2144,Somerville,42.399546,-71.12165,1066.0
576,1902,Lynn,42.469946,-70.94113,8935.0
578,1908,Nahant,42.427096,-70.92809,150.0
579,1420,Fitchburg,42.578689,-71.80338,7291.0
580,2143,Somerville,42.381929,-71.09908,1883.0
582,1431,Ashby,42.672005,-71.8137,198.0
583,2186,Milton,42.253074,-71.07496,4114.0
584,1129,Springfield,42.121031,-72.4896,2187.0
585,2190,Weymouth,42.1711,-70.94597,2942.0
586,2738,Marion,41.706599,-70.75086,466.0
587,2746,New Bedford,41.659336,-70.93347,1915.0
588,1612,Paxton,42.307591,-71.91929,503.0
589,2660,South Dennis,41.712338,-70.16165,508.0
590,2067,Sharon,42.113749,-71.17923,3540.0
591,2343,Holbrook,42.148351,-71.01037,1202.0
593,2631,Brewster,41.746647,-70.07773,508.0
598,1570,Webster,42.047728,-71.86108,1898.0
600,1028,East Longmeadow,42.066795,-72.5102,2668.0
602,2081,Walpole,42.145237,-71.25375,3458.0
603,1225,Cheshire,42.551731,-73.1653,885.0
604,1773,Lincoln,42.425537,-71.30316,656.0
606,2653,Orleans,41.777647,-69.97312,759.0
610,1077,Southwick,42.05283,-72.76966,1538.0
612,2119,Boston,42.324511,-71.08455,5210.0
614,2468,Waban,42.325247,-71.2319,412.0
617,1011,Chester,42.271442,-73.01958,122.0
618,1053,Leeds,42.353105,-72.70206,333.0
619,2301,Brockton,42.0794,-71.03441,
623,2645,Harwich,41.707332,-70.05679,2099.0
624,2125,Boston,42.316852,-71.05811,3155.0
628,2346,Middleboro,41.889582,-70.89406,3001.0
629,1607,Worcester,42.229543,-71.79501,1298.0
631,2718,East Taunton,41.876249,-71.01827,1336.0
635,2648,Marstons Mills,41.667689,-70.4168,1264.0
640,2189,Weymouth,42.2112,-70.93111,2483.0
642,1096,Williamsburg,42.415236,-72.78271,170.0
646,1609,Worcester,42.271743,-71.81348,981.0
647,1469,Townsend,42.658738,-71.69204,1879.0
648,2120,Boston,42.332099,-71.09651,
649,2771,Seekonk,41.84345,-71.32343,1987.0
650,2302,Brockton,42.08715,-71.00222,5410.0
651,2476,Arlington,42.416745,-71.17761,3421.0
652,1741,Carlisle,42.5286,-71.35084,613.0
653,1366,Petersham,42.474718,-72.21226,120.0
656,2351,Abington,42.119534,-70.94787,1978.0
657,1826,Dracut,42.677772,-71.316,3657.0
658,1267,Williamstown,42.689962,-73.22355,1005.0
662,2338,Halifax,41.999851,-70.85395,543.0
663,1510,Clinton,42.418836,-71.68482,1896.0
666,2764,North Dighton,41.851557,-71.15125,924.0
671,1801,Woburn,42.484545,-71.15206,4807.0
